LASTNAME;NAME;BIRTH_DATE;CODE_COUNTRY_NUM;CODE_PLAYER;HEIGHT
el-Mona; Neeshaan;1984-04-07;292;617;1.87
al-Mansoor; Dhaahir;1980-08-29;0;618;1.96
al-Zaki; Rajaa;1980-12-17;626;619;1.89
Begay; Christian;1981-08-11;254;620;1.88
Pratt; Gavin;1985-08-24;744;621;1.87
Brodie; Derek;1977-11-29;585;622;1.84
Nguyen; Alexandre;1974-01-21;768;623;1.97
Olguin; Adam;1979-06-02;175;624;1.96
Le; Caleb;1975-09-10;784;625;1.97
Valdez; Michael;1972-04-07;100;626;1.98
Kingsley; Chase;1973-09-24;336;627;1.89
al-Mona; Nawaar;1982-04-13;500;628;1.94
Archuleta; Gerardo;1974-03-02;434;629;1.83
Heath; James;1974-06-02;324;630;1.94
Vigil; Mark;1980-01-30;660;631;1.93
Jamerson; Thomas;1979-08-23;70;632;1.96
Tinajero; Forest;1984-06-05;643;633;1.85
Gonzales; Elias;1972-02-24;308;634;1.93
Hirano; Brandon;1971-03-03;404;635;1.84
Mitze; Dylan;1974-02-02;540;636;1.93
Fisco Jr; Praveen;1981-06-04;266;637;1.95
Colangelo; Sergio;1979-07-05;591;638;1.96
Tesfamariam; Kareem;1980-06-24;535;639;1.84
Dillingham; Samuel;1982-04-20;410;640;1.9
Mooney; Garrett;1971-08-18;440;641;1.92
Alfaro; Cesar;1982-12-07;833;642;1.92
Pinedo Diaz; Ryan;1980-08-30;28;643;1.85
Eaton; Justin;1972-07-12;116;644;1.89
Rice; Ian;1973-11-12;270;645;1.97
el-Satter; Kabeer;1972-05-22;356;646;1.95
Graczyk; Grant;1985-07-03;36;647;1.98
Lymburn; Oswald;1983-06-18;132;648;1.92
al-Abbas; Shabaan;1980-09-02;276;649;1.96
Bennett; Andrew;1980-10-28;768;650;1.92
Smith; Firacoth;1980-02-03;690;651;1.94
al-Sharif; Abdul Baasid;1981-10-19;624;652;1.95
Swenson; Logan;1976-05-22;480;653;1.98
Strock; Riley;1972-08-22;156;654;1.91
al-Amiri; Shuaib;1981-08-09;372;655;1.81
Dunlap; Marcus;1985-11-11;585;656;1.84
Loredo; Jacob;1979-10-23;100;657;1.9
al-Sheikh; Abdul Azeez;1978-09-03;352;658;1.91
Cechini; Jacob;1971-07-22;0;659;1.88
Monroe; Clayton;1981-05-04;328;660;1.81
Lightfoot; Rashaan;1971-09-28;96;661;1.81
el-Badie; Saif;1981-12-21;132;662;1.86
Tesfa; Nicholas;1972-06-09;756;663;1.8
Miller; Trevor;1974-09-17;638;664;1.97
Thompson; Andrew;1972-05-27;499;665;1.89
Lopez; Steven;1975-04-27;275;666;1.85
Cereceres; Edward;1974-09-12;276;667;1.82
el-Adel; Lutfi;1981-06-27;52;668;1.95
Harrier; Brandon;1979-05-09;732;669;1.92
el-Rizk; Muhsin;1971-11-25;262;670;1.83
Muya; Du Shawn;1977-05-03;674;671;1.81
House; Cyrus;1974-12-12;275;672;1.82
al-Kaleel; Aslam;1981-01-18;12;673;1.92
Buccieri; Carlton;1977-01-09;196;674;1.82
Trujillo; Julian;1972-04-15;724;675;1.86
Svendson; Joshua;1979-04-01;152;676;1.97
Thompson Williams; Eric;1975-08-18;166;677;1.95
Keuhne; Donovan;1977-05-16;732;678;1.94
Birkhead; Nathan;1977-02-30;316;679;1.93
Nash; Jerrell;1974-05-29;188;680;1.82
Rivas; Victor;1978-12-01;580;681;1.87
Estep; Dillon;1972-08-02;612;682;1.87
Skodack; Skip;1971-03-04;728;683;1.95
Smith; Keanu;1985-06-13;52;684;1.95
Macpherson; Travis;1982-12-07;620;685;1.88
el-Saba; Rajaa;1985-09-28;626;686;1.88
Singh; Joseph;1980-04-03;500;687;1.91
Lucero; Brandon;1977-02-09;728;688;1.97
Cortez; Eric;1974-04-13;462;689;1.89
Moody; Deangelo;1982-01-07;512;690;1.89
al-Shehadeh; Anwar;1972-07-12;108;691;1.81
Brewer; Jose;1972-04-18;204;692;1.94
Sterner; Nicholas;1984-03-29;196;693;1.87
el-Abed; Wajeeh;1978-08-19;643;694;1.81
Anchondo; Malaki;1979-07-11;140;695;1.98
Grosso; Samuel;1976-07-09;16;696;1.97
Vega; Francisco;1974-01-19;70;697;1.94
Wada; John;1985-03-17;492;698;1.92
Bass; Angelo;1974-04-26;772;699;1.9
Garcia; Jose;1984-10-04;768;700;1.96
Mendoza; Franklin;1985-08-01;670;701;1.98
el-Ramin; Abbaad;1981-06-08;484;702;1.88
Pohlenz; Spencer;1985-03-07;496;703;1.9
Chittenden; Adam;1972-02-27;678;704;1.98
Elwood; Irquois;1975-04-17;388;705;1.82
Araujo; Sergio;1984-09-09;414;706;1.94
al-Abdul; Khaleefa;1980-12-11;242;707;1.9
King; Joshua;1979-02-08;480;708;1.82
Delarosa; Werner;1980-11-17;535;709;1.82
Robinson; D'Andre;1979-12-19;728;710;1.86
Lee; Emmitt;1975-10-25;826;711;1.93
Tarver; Azim;1975-07-01;418;712;1.96
al-Mahdi; Akram;1980-04-21;417;713;1.87
Voss-Scott; Noah;1973-09-07;512;714;1.95
Chu; Zhiyuan;1971-11-21;826;715;1.87
Madrill; Brett;1975-08-11;196;716;1.86
Kidder; Armani;1975-04-21;642;717;1.92
el-Saade; Muthanna;1975-09-19;831;718;1.86
Sierra; Juan;1975-05-21;212;719;1.87
al-Khawaja; Masood;1981-10-15;414;720;1.88
Mcwilliams; Kivonjay;1978-10-13;616;721;1.88
Hackleman; Philip;1984-09-10;218;722;1.92
Deere; Ivan;1976-07-29;706;723;1.94
Lehi; Phillip;1979-10-21;458;724;1.97
Preciado; Erik;1977-05-13;520;725;1.94
el-Rasheed; Tawfeeq;1979-07-27;0;726;1.94
Ketchum; Marcus;1971-09-06;300;727;1.83
Mcdondle; Anthony;1983-07-23;120;728;1.94
Cruz; Michael;1980-11-10;76;729;1.8
Johnson-Brown; Xzavier;1973-05-26;132;730;1.93
al-Youssef; Abdul Hakeem;1977-05-20;392;731;1.83
el-Hadi; Hamdi;1976-07-08;180;732;1.81
el-Parsa; Bakar;1981-06-18;499;733;1.91
Lor; Joshua;1980-03-22;12;734;1.86
Sasaki; Kylin;1974-07-02;887;735;1.85
Bunting; Paul;1985-03-14;212;736;1.9
el-Fawaz; Mutammam;1980-04-22;548;737;1.97
Lovejoy; Nathaniel;1971-04-23;340;738;1.87
Herrera Silva; Alejandro;1983-09-23;136;739;1.87
West; Brandon;1973-05-18;580;740;1.87
